Date,Open,Close
2021-01-01,1.33,1.46
2021-01-02,1.31,1.4
2021-01-03,1.29,1.34
2021-01-04,1.27,1.27
2021-01-05,1.36,1.36
2021-01-06,1.48,1.27
2021-01-07,1.48,1.48
2021-01-08,1.48,1.48
2021-01-09,1.44,1.43
2021-01-10,1.4,1.38
2021-01-11,1.36,1.33
2021-01-12,1.36,1.36
2021-01-13,1.36,1.36
2021-01-14,1.36,1.36
2021-01-15,1.36,1.36
2021-01-16,1.36,1.36
2021-01-17,1.36,1.36
2021-01-18,1.36,1.36
2021-01-19,1.36,1.36
2021-01-20,1.36,1.36
2021-01-21,1.26,1.26
2021-01-22,1.34,1.33
2021-01-23,1.32,1.3
2021-01-24,1.29,1.28
2021-01-25,1.26,1.26
2021-01-26,1.26,1.35
2021-01-27,1.27,1.45
2021-01-28,1.27,1.27
2021-01-29,1.27,1.27
2021-01-30,1.27,1.27
2021-01-31,1.27,1.27
2021-02-01,1.27,1.27
2021-02-02,1.27,1.27
2021-02-03,1.32,1.25
2021-02-04,1.32,1.32
2021-02-05,1.32,1.32
2021-02-06,1.32,1.32
2021-02-07,1.32,1.32
2021-02-08,1.32,1.32
2021-02-09,1.32,1.32
2021-02-10,1.32,1.32
2021-02-11,1.34,1.25
2021-02-12,1.34,1.34
2021-02-13,1.33,1.35
2021-02-14,1.32,1.36
2021-02-15,1.3,1.37
2021-02-16,1.3,1.3
2021-02-17,1.3,1.3
2021-02-18,1.3,1.3
2021-02-19,1.3,1.3
2021-02-20,1.31,1.29
2021-02-21,1.31,1.27
2021-02-22,1.31,1.26
2021-02-23,1.31,1.31
2021-02-24,1.31,1.31
2021-02-25,1.31,1.31
2021-02-26,1.31,1.31
2021-02-27,1.31,1.31
2021-02-28,1.31,1.31
2021-03-01,1.31,1.31
2021-03-02,1.26,1.29
2021-03-03,1.26,1.26
2021-03-04,1.23,1.23
2021-03-05,1.23,1.23
2021-03-06,1.23,1.23
2021-03-07,1.23,1.23
2021-03-08,1.23,1.23
2021-03-09,1.32,1.24
2021-03-10,1.32,1.32
2021-03-11,1.32,1.32
2021-03-12,1.32,1.32
2021-03-13,1.32,1.32
2021-03-14,1.32,1.32
2021-03-15,1.32,1.32
2021-03-16,1.26,1.37
2021-03-17,1.29,1.4
2021-03-18,1.29,1.29
2021-03-19,1.29,1.29
2021-03-20,1.29,1.29
2021-03-21,1.29,1.29
2021-03-22,1.29,1.29
2021-03-23,1.21,1.21
2021-03-24,1.23,1.15
2021-03-25,1.34,1.22
2021-03-26,1.41,1.36
2021-03-27,1.43,1.4
2021-03-28,1.45,1.44
2021-03-29,1.46,1.47
2021-03-30,1.48,1.51
2021-03-31,1.47,1.35
2021-04-01,1.34,1.36
2021-04-02,1.34,1.36
2021-04-03,1.34,1.35
2021-04-04,1.34,1.35
2021-04-05,1.34,1.34
2021-04-06,1.34,1.33
2021-04-07,1.46,1.46
2021-04-08,1.38,1.35
2021-04-09,1.38,1.38
2021-04-10,1.38,1.38
2021-04-11,1.38,1.38
2021-04-12,1.38,1.38
2021-04-13,1.38,1.38
2021-04-14,1.38,1.38
2021-04-15,1.38,1.38
2021-04-16,1.38,1.38
2021-04-17,1.38,1.38
2021-04-18,1.38,1.38
2021-04-19,1.38,1.38
2021-04-20,1.38,1.38
2021-04-21,1.38,1.38
