Date,Open,Close
2021-01-01,1.5,1.5
2021-01-02,1.5,1.5
2021-01-03,1.5,1.5
2021-01-04,1.5,1.5
2021-01-05,1.5,1.5
2021-01-06,1.5,1.5
2021-01-07,1.5,1.5
2021-01-08,1.5,1.5
2021-01-09,1.5,1.5
2021-01-10,1.5,1.5
2021-01-11,1.5,1.5
2021-01-12,1.5,1.5
2021-01-13,1.5,1.5
2021-01-14,1.5,1.5
2021-01-15,1.5,1.5
2021-01-16,1.52,1.52
2021-01-17,1.53,1.53
2021-01-18,1.55,1.55
2021-01-19,1.55,1.55
2021-01-20,1.55,1.55
2021-01-21,1.55,1.55
2021-01-22,1.55,1.55
2021-01-23,1.57,1.57
2021-01-24,1.58,1.58
2021-01-25,1.6,1.6
2021-01-26,1.6,1.6
2021-01-27,1.6,1.6
2021-01-28,1.6,1.6
2021-01-29,1.6,1.6
2021-01-30,1.62,1.62
2021-01-31,1.63,1.63
2021-02-01,1.65,1.65
2021-02-02,1.65,1.65
2021-02-03,1.65,1.65
2021-02-04,1.65,1.65
2021-02-05,1.65,1.65
2021-02-06,1.67,1.65
2021-02-07,1.68,1.65
2021-02-08,1.7,1.65
2021-02-09,1.75,1.75
2021-02-10,1.75,1.75
2021-02-11,1.75,1.75
2021-02-12,1.75,1.75
2021-02-13,1.77,1.77
2021-02-14,1.78,1.78
2021-02-15,1.8,1.8
2021-02-16,1.8,1.8
2021-02-17,1.8,1.8
2021-02-18,1.8,1.8
2021-02-19,1.8,1.8
2021-02-20,1.82,1.82
2021-02-21,1.83,1.83
2021-02-22,1.85,1.85
2021-02-23,1.85,1.85
2021-02-24,1.85,1.85
2021-02-25,1.85,1.85
2021-02-26,1.85,1.85
2021-02-27,1.85,1.85
2021-02-28,1.85,1.85
2021-03-01,1.85,1.85
2021-03-02,1.85,1.85
2021-03-03,1.85,1.85
2021-03-04,1.85,1.85
2021-03-05,1.85,1.85
2021-03-06,1.85,1.85
2021-03-07,1.85,1.85
2021-03-08,1.85,1.85
2021-03-09,1.85,1.85
2021-03-10,1.85,1.85
2021-03-11,1.85,1.85
2021-03-12,1.85,1.85
2021-03-13,1.83,1.85
2021-03-14,1.82,1.85
2021-03-15,1.8,1.85
2021-03-16,1.8,1.8
2021-03-17,1.8,1.8
2021-03-18,1.8,1.8
2021-03-19,1.8,1.8
2021-03-20,1.8,1.8
2021-03-21,1.8,1.8
2021-03-22,1.8,1.8
2021-03-23,1.8,1.8
2021-03-24,1.8,1.8
2021-03-25,1.8,1.8
2021-03-26,1.8,1.8
2021-03-27,1.8,1.79
2021-03-28,1.8,1.77
2021-03-29,1.8,1.76
2021-03-30,1.8,1.75
2021-03-31,1.8,1.8
2021-04-01,1.8,1.8
2021-04-02,1.79,1.79
2021-04-03,1.77,1.77
2021-04-04,1.76,1.76
2021-04-05,1.75,1.75
2021-04-06,1.75,1.75
2021-04-07,1.75,1.75
2021-04-08,1.75,1.75
2021-04-09,1.75,1.75
2021-04-10,1.75,1.75
2021-04-11,1.75,1.75
2021-04-12,1.75,1.75
2021-04-13,1.75,1.75
2021-04-14,1.75,1.75
2021-04-15,1.75,1.75
2021-04-16,1.75,1.75
2021-04-17,1.75,1.73
2021-04-18,1.75,1.72
2021-04-19,1.75,1.7
2021-04-20,1.75,1.75
2021-04-21,1.75,1.75
2021-04-22,1.75,1.75
2021-04-23,1.75,1.75
2021-04-24,1.77,1.77
2021-04-25,1.78,1.78
2021-04-26,1.8,1.8
2021-04-27,1.8,1.8
2021-04-28,1.8,1.8
2021-04-29,1.8,1.8
2021-04-30,1.8,1.8
2021-05-01,1.8,1.8
2021-05-02,1.8,1.8
2021-05-03,1.8,1.8
2021-05-04,1.8,1.8
2021-05-05,1.8,1.8
2021-05-06,1.8,1.8
2021-05-07,1.8,1.8
2021-05-08,1.78,1.8
2021-05-09,1.77,1.8
2021-05-10,1.75,1.8
2021-05-11,1.75,1.75
2021-05-12,1.75,1.75
2021-05-13,1.75,1.75
2021-05-14,1.75,1.75
2021-05-15,1.77,1.75
2021-05-16,1.78,1.75
2021-05-17,1.8,1.75
2021-05-18,1.8,1.8
2021-05-19,1.8,1.8
2021-05-20,1.8,1.8
2021-05-21,1.8,1.8
2021-05-22,1.82,1.82
2021-05-23,1.83,1.83
2021-05-24,1.85,1.85
2021-05-25,1.85,1.85
2021-05-26,1.85,1.85
2021-05-27,1.85,1.85
2021-05-28,1.85,1.85
2021-05-29,1.85,1.85
2021-05-30,1.85,1.85
2021-05-31,1.85,1.85
2021-06-01,1.85,1.85
2021-06-02,1.85,1.85
2021-06-03,1.85,1.85
2021-06-04,1.85,1.85
2021-06-05,1.85,1.85
2021-06-06,1.85,1.85
2021-06-07,1.85,1.85
2021-06-08,1.85,1.85
2021-06-09,1.85,1.85
2021-06-10,1.85,1.85
2021-06-11,1.85,1.85
2021-06-12,1.85,1.85
2021-06-13,1.85,1.85
2021-06-14,1.85,1.85
2021-06-15,1.85,1.85
2021-06-16,1.85,1.85
2021-06-17,1.85,1.85
2021-06-18,1.85,1.85
2021-06-19,1.85,1.85
2021-06-20,1.85,1.85
2021-06-21,1.85,1.85
2021-06-22,1.85,1.85
2021-06-23,1.85,1.85
2021-06-24,1.85,1.85
2021-06-25,1.85,1.85
2021-06-26,1.85,1.85
2021-06-27,1.85,1.85
2021-06-28,1.85,1.85
2021-06-29,1.85,1.85
2021-06-30,1.85,1.85
2021-07-01,1.85,1.85
2021-07-02,1.85,1.85
2021-07-03,1.85,1.83
2021-07-04,1.85,1.82
2021-07-05,1.85,1.8
2021-07-06,1.85,1.85
2021-07-07,1.85,1.85
2021-07-08,1.85,1.85
2021-07-09,1.85,1.85
2021-07-10,1.87,1.87
2021-07-11,1.88,1.88
2021-07-12,1.9,1.9
2021-07-13,1.9,1.9
2021-07-14,1.9,1.9
2021-07-15,1.9,1.9
2021-07-16,1.9,1.9
2021-07-17,1.92,1.92
2021-07-18,1.93,1.93
2021-07-19,1.95,1.95
2021-07-20,1.95,1.95
2021-07-21,1.95,1.95
2021-07-22,1.95,1.95
2021-07-23,1.95,1.95
2021-07-24,1.95,1.95
2021-07-25,1.95,1.95
2021-07-26,1.95,1.95
2021-07-27,1.95,1.95
2021-07-28,1.95,1.95
2021-07-29,1.95,1.95
2021-07-30,1.95,1.95
2021-07-31,1.95,1.95
2021-08-01,1.95,1.95
2021-08-02,1.95,1.95
2021-08-03,1.95,1.95
2021-08-04,1.95,1.95
2021-08-05,1.95,1.95
2021-08-06,1.95,1.95
2021-08-07,1.95,1.95
2021-08-08,1.95,1.95
2021-08-09,1.95,1.95
2021-08-10,1.95,1.95
2021-08-11,1.95,1.95
2021-08-12,1.95,1.95
2021-08-13,1.95,1.95
2021-08-14,1.95,1.95
2021-08-15,1.95,1.95
2021-08-16,1.95,1.95
2021-08-17,1.95,1.95
2021-08-18,1.95,1.95
2021-08-19,1.95,1.95
2021-08-20,1.95,1.95
2021-08-21,1.95,1.95
2021-08-22,1.95,1.95
2021-08-23,1.95,1.95
2021-08-24,1.95,1.95
2021-08-25,1.95,1.95
2021-08-26,1.95,1.95
2021-08-27,1.95,1.95
2021-08-28,1.95,1.95
2021-08-29,1.95,1.95
2021-08-30,1.95,1.95
2021-08-31,1.95,1.95
2021-09-01,1.95,1.95
2021-09-02,1.95,1.95
2021-09-03,1.95,1.95
2021-09-04,1.95,1.95
2021-09-05,1.95,1.95
2021-09-06,1.95,1.95
2021-09-07,1.95,1.95
2021-09-08,1.95,1.95
2021-09-09,1.95,1.95
2021-09-10,1.95,1.95
2021-09-11,1.95,1.95
2021-09-12,1.95,1.95
2021-09-13,1.95,1.95
2021-09-14,1.95,1.95
2021-09-15,1.95,1.95
2021-09-16,1.95,1.95
2021-09-17,1.95,1.95
2021-09-18,1.97,1.97
2021-09-19,1.98,1.98
2021-09-20,2.0,2.0
