Date,Open,Close
2020-01-01,26.75,26.75
2020-01-02,26.75,26.75
2020-01-03,26.75,26.75
2020-01-04,26.75,26.75
2020-01-05,26.75,26.75
2020-01-06,26.75,26.75
2020-01-07,26.75,26.75
2020-01-08,26.75,26.75
2020-01-09,26.75,26.75
2020-01-10,26.75,26.75
2020-01-11,26.75,26.75
2020-01-12,26.75,26.75
2020-01-13,26.75,26.75
2020-01-14,26.75,26.75
2020-01-15,26.75,26.75
2020-01-16,26.75,26.75
2020-01-17,26.75,26.75
2020-01-18,26.75,26.75
2020-01-19,26.75,26.75
2020-01-20,26.75,26.75
2020-01-21,26.75,26.75
2020-01-22,26.75,26.75
2020-01-23,26.75,26.75
2020-01-24,26.75,26.75
2020-01-25,26.75,26.75
2020-01-26,26.75,26.75
2020-01-27,26.75,26.75
2020-01-28,26.75,26.75
2020-01-29,26.75,26.75
2020-01-30,26.75,26.75
2020-01-31,26.75,26.75
2020-02-01,26.75,26.75
2020-02-02,26.75,26.75
2020-02-03,26.75,26.75
2020-02-04,26.75,26.75
2020-02-05,26.75,26.75
2020-02-06,26.75,26.75
2020-02-07,26.75,26.75
2020-02-08,26.75,26.75
2020-02-09,26.75,26.75
2020-02-10,26.75,26.75
2020-02-11,26.75,26.75
2020-02-12,26.75,26.75
2020-02-13,26.75,26.75
2020-02-14,26.75,26.75
2020-02-15,26.75,26.75
2020-02-16,26.75,26.75
2020-02-17,26.75,26.75
2020-02-18,26.75,26.75
2020-02-19,26.75,26.75
2020-02-20,26.75,26.75
2020-02-21,26.75,26.75
2020-02-22,26.75,26.75
2020-02-23,26.75,26.75
2020-02-24,26.75,26.75
2020-02-25,26.75,26.75
2020-02-26,26.75,26.75
2020-02-27,26.75,26.75
2020-02-28,26.75,26.75
2020-03-01,25.92,25.92
2020-03-02,25.5,25.5
2020-03-03,25.5,25.5
2020-03-04,25.5,25.5
2020-03-05,25.5,25.5
2020-03-06,25.5,25.5
2020-03-07,25.5,25.5
2020-03-08,25.5,25.5
2020-03-09,25.5,25.5
2020-03-10,25.5,25.5
2020-03-11,25.5,25.5
2020-03-12,23.5,23.5
2020-03-13,23.5,23.5
2020-03-14,23.5,23.5
2020-03-15,23.5,23.5
2020-03-16,23.5,23.5
2020-03-17,23.5,23.5
2020-03-18,23.5,23.5
2020-03-19,23.5,23.5
2020-03-20,23.5,23.5
2020-03-21,23.5,23.5
2020-03-22,23.5,23.5
2020-03-23,23.5,23.5
2020-03-24,23.5,23.5
2020-03-25,23.5,23.5
2020-03-26,23.5,23.5
2020-03-27,23.5,23.5
2020-03-28,23.5,23.5
2020-03-29,23.5,23.5
2020-03-30,23.5,23.5
2020-03-31,23.5,23.5
2020-04-01,23.5,23.5
2020-04-02,23.5,23.5
2020-04-03,23.5,23.5
2020-04-04,23.5,23.5
2020-04-05,23.5,23.5
2020-04-06,23.5,23.5
2020-04-07,23.5,23.5
2020-04-08,23.5,23.5
2020-04-09,23.5,23.5
2020-04-10,23.5,23.5
2020-04-11,23.5,23.5
2020-04-12,23.5,23.5
2020-04-13,23.5,23.5
2020-04-14,23.5,23.5
2020-04-15,23.5,23.5
2020-04-16,23.5,23.5
2020-04-17,23.5,23.5
2020-04-18,23.5,23.5
2020-04-19,23.5,23.5
2020-04-20,23.5,23.5
2020-04-21,23.5,23.5
2020-04-22,23.5,23.5
2020-04-23,23.5,23.5
2020-04-24,23.5,23.5
2020-04-25,23.5,23.5
2020-04-26,23.5,23.5
2020-04-27,23.5,23.5
2020-04-28,23.5,23.5
2020-04-29,23.5,23.5
2020-04-30,23.5,23.5
2020-05-01,23.5,23.5
2020-05-02,23.5,23.5
2020-05-03,23.5,23.5
2020-05-04,23.5,23.5
2020-05-05,23.5,23.5
2020-05-06,23.5,23.5
2020-05-07,23.5,23.5
2020-05-08,23.5,23.5
2020-05-09,23.5,23.5
2020-05-10,23.5,23.5
2020-05-11,23.5,23.5
2020-05-12,23.5,23.5
2020-05-13,23.5,23.5
2020-05-14,23.5,23.5
2020-05-15,23.5,23.5
2020-05-16,23.5,23.5
2020-05-17,23.5,23.5
2020-05-18,23.5,23.5
2020-05-19,23.5,23.5
2020-05-20,23.5,23.5
2020-05-21,23.5,23.5
2020-05-22,23.5,23.5
2020-05-23,23.5,23.5
2020-05-24,23.5,23.5
2020-05-25,23.5,23.5
2020-05-26,23.5,23.5
2020-05-27,23.5,23.5
2020-05-28,23.5,23.5
2020-05-29,23.5,23.5
2020-05-30,23.5,23.5
2020-05-31,23.5,23.5
2020-06-01,23.5,23.5
2020-06-02,23.5,23.5
2020-06-03,23.5,23.5
2020-06-04,23.5,23.5
2020-06-05,23.5,23.5
